rank,name,population,pop_density,country,latitude,longitude
1,Shanghai,24150000,3809,China,31.2241459,121.5161362
2,Karachi,23500000,6663,Pakistan,24.9267101,67.0343704
3,Beijing,21516000,1311,China,39.9065704,116.3876495
4,Tianjin,14722100,3647,China,39.1449394,117.2005692
5,Istanbul,14377019,2633,Turkey,41.06073,28.9877701
6,Lagos,1340000,13406,Nigeria,6.6016002,3.3968599
7,Guangzhou,1270080,3305,China,23.1133709,113.2552338
8,Mumbai,1265522,20973,India,18.93013,72.8300934
9,Moscow,12197596,4859,Russia,55.7569695,37.6150208
10,Dhaka,12043977,8229,Bangladesh,23.7132301,90.3995667
11,Cairo,11922949,3865,Egypt,30.0454197,31.2421093
12,São Paulo,11895893,7821,Brazil,-23.5628395,-46.6546402
13,Lahore,11318745,6388,Pakistan,31.5394497,74.3034821
14,Shenzhen,10467400,5256,China,22.5562191,114.1187897
15,Seoul,10388055,17164,South Korea,37.5150185,127.0164719
16,Jakarta,9988329,15040,Indonesia,-6.1714902,106.8275223
17,Kinshasa,9735000,8710,Democratic Republic of the Congo,-4.3122201,15.2895298
18,Tokyo,9071577,14561,Japan,35.6832085,139.8089447
19,Mexico City,8874724,5974,Mexico,19.2793865,-99.134758
20,Lima,8693387,3253,Peru,-12.0561399,-77.0268021
21,New York City,8491079,10833,United States,40.7820015,-73.8317032
22,Bengaluru,8425970,11876,India,12.9669704,77.5872803
23,London,8416500,5353,United Kingdom,51.5064201,-0.12721
24,Bangkok,8280925,5279,Thailand,13.7533503,100.5048294
25,Dongguan,8220207,3329,China,23.0443993,113.7369614
26,Chongqing,8189800,1496,China,29.5509491,106.5193481
27,Nanjing,8187828,1737,China,32.0497818,118.7659836
28,Tehran,8154051,11886,Iran,35.6895409,51.4146843
29,Shenyang,8106171,626,China,41.7872581,123.404007
30,Ahmedabad,8029975,16905,India,23.0193005,72.5817413
31,Bogotá,7776845,9052,Colombia,4.3153343,-74.1796036
32,Ho Chi Minh City,7681700,3666,Vietnam,10.7782297,106.70327
33,Hong Kong,7219700,6537,China,22.3361568,114.1869659
34,Baghdad,7180889,1576,Iraq,33.3418007,44.3935013
35,Changsha,7044118,596,China,28.1961498,112.9726791
36,Wuhan,6886253,5187,China,30.5534954,114.2532578
37,Hyderabad,6809970,10958,India,17.4114094,78.4847794
38,Hanoi,6844100,2059,Vietnam,21.0288906,105.8546371
39,Rio de Janeiro,6429923,5357,Brazil,-22.9121609,-43.1750107
40,Foshan,6151622,3023,China,23.0336208,113.1082916
41,Santiago,5743719,4595,Chile,-33.6039085,-70.6270294
42,Riyadh,5676621,4600,Saudi Arabia,24.6472893,46.7146797
43,Singapore,5399200,7579,Singapore,1.2896441,103.8414841
44,Shantou,5391028,2611,China,23.3576698,116.6834106
45,Yangon,5214000,8708,Burma,16.8448105,96.132843
46,Saint Petersburg,5191690,3608,Russia,59.928875,30.2215462
47,Ankara,5150072,2695,Turkey,39.9429016,32.8605003
48,Pune,5049968,11205,India,18.5041904,73.8530884
49,Chennai,4792949,11238,India,13.0503302,80.188591
50,Abidjan,4765000,2249,Ivory Coast,5.3572102,-4.0157599
51,Chengdu,4741929,11263,China,30.5785007,103.9469986
52,Alexandria,4616625,2007,Egypt,31.2104492,29.9124508
53,Kolkata,4486679,22355,India,22.5705395,88.3712387
54,Xi'an,4467837,5369,China,34.2632484,108.9318314
55,Surat,4462002,13666,India,21.1849899,72.8358994
56,Johannesburg,4434827,2696,South Africa,-26.2120991,28.0300007
57,Dar es Salaam,4364541,2676,Tanzania,-6.7831998,39.2676697
58,Suzhou,4327066,2623,China,31.3092518,120.6131973
59,Harbin,4280701,2491,China,45.7555313,126.6395111
60,Giza,4239988,14667,Egypt,30.0095692,31.21381
61,İzmir,4113072,2152,Turkey,38.4261818,27.1419106
62,Zhengzhou,4122087,4059,China,34.7640305,113.6594086
63,New Taipei City,3954929,1927,Taiwan,25.0117397,121.4653168
64,Los Angeles,3884307,3200,United States,34.0534897,-118.2453232
65,Cape Town,3740026,1530,South Africa,-33.9205017,18.4211998
66,Yokohama,3680267,8414,Japan,41.0497017,141.2533722
67,Busan,3590101,4686,South Korea,35.1779289,129.078476
68,Hangzhou,3560391,4889,China,30.2526245,120.1650772
69,Xiamen,3531347,2078,China,24.4596405,118.0895386
70,Quanzhou,3520846,3315,China,24.9119701,118.5805206
71,Berlin,3517424,3944,Germany,52.5014076,13.4023285
72,Jeddah,3456259,1958,Saudi Arabia,21.4816799,39.1828613
73,Durban,3442361,1502,South Africa,-29.8491802,30.9873199
74,Kabul,3414100,12415,Afghanistan,34.5315514,69.125351
75,Jaipur,3355070,6918,India,26.9142895,75.7927475
76,Hefei,3352076,3998,China,31.8700294,117.2745667
77,Pyongyang,3255388,1541,North Korea,39.0119591,125.7868423
78,Madrid,3207247,5294,Spain,40.4202805,-3.70577
79,Ekurhuleni,3178470,1609,South Africa,-26.2103405,28.1591606
80,Nairobi,3138369,4829,Kenya,-1.27367,36.8749008
81,Zhongshan,3121275,1750,China,22.5190506,113.3673706
82,Ürümqi,3112559,214,China,43.7878685,87.5862732
83,Addis Ababa,3103673,5889,Ethiopia,9.0335999,38.7444992
84,Wenzhou,3039439,2559,China,28.0103207,120.6249084
